4	Haggai Nuchi	July 19, 2011 @ 8:08 pm	The first point and line P_0, l_0 cannot be chosen so that P_0 is on the boundary of the convex hull of S and l_0 picks out an adjacent point on the convex hull. Maybe the strategy should be to take out the convex hull of S from consideration; follow it up by induction on removing successive convex hulls.	perf[assert](rel[has_property](two_conseq_hull, not_all_paths))\newline rel[structural](not_all_paths, convex_hull)\newline perf[suggest](meta[strategy](problem, induction_hulls))\newline rel[structural](induction_hulls, convex_hull)\newline rel[structural](convex_hull, S)\newline rel[structural](two_conseq_hull, pivot_seq)	Conjecture
4.1	Haggai Nuchi	July 19, 2011 @ 8:10pm	More specifically, remove the subset of S which forms the convex hull to get S_1; remove the new convex hull to get S_2, and repeat until S_n is convex. Maybe a point of S_n is a good place to start.	perf[suggest](meta[strategy](problem, induction_hulls_detail))\newline rel[structural](induction_hulls, induction_hulls_detail)	Proof
4.1.1	Srivatsan Narayanan	July 19, 2011 @ 8:37 pm	Can we just assume by induction that we have proved the result for all the ``inner points'' $S_2 \cup S_3 \cdot \cup S_n$. The base case would be that $S = S_1$, i.e., it forms a convex polygon.	perf[suggest](meta[strategy](problem, strong_ind_hulls))\newline perf[assert](rel[case_split](strong_ind_hulls, strong_ind_hulls_BC, strong_ind_hulls_IH))\newline perf[assert](strong_ind_hulls_BC)	Proof
4.1.2	Anonymous	January 19, 2012 @ 7:59 pm	I hope this hasn't been said already, but this seems close to me. Consider one convex hull $\{ p1, p2, \ldots\}$ inside another $\{q1, \ldots\}$, and suppose that a line pivoting on $p_i$ needs to sweep out some angle $\alpha$ to reach $p_{i+1}$. Then I think that even if there are points $q_{j_1}, q_{j_2}, \ldots$ between $p_i$ and $p_{i+1}$, the line keeps advancing until it starts to pivot on $p_{i+1}$. If this could be extended to many hulls then we may be done.	perf[assert](two_hulls)\newline perf[suggest](meta[goal](generalize_hulls))\newline perf[assert](rel[instance_of](generalize_hulls, two_hulls))	Proof
4.1.2.1	Anonymous	January 19, 2012 @ 8:05 pm	(apologies for doing my latex wrong). I just wanted to clarify, though, that a line advances if it passes over the sector with center $[q_i]$ and boundary equal to the starting point of $[l]$ and angle $[\alpha]$. Once the whole sector is on the other side of $[l]$ , then I believe we will have hit $ [q_{i+1}]$	perf[assert](two_hulls_detail)\newline rel[structural](two_hulls_detail, two_hulls)	Proof
5	Nemanja	July 19, 2011 @ 8:08 pm	Trivial observation: If we start with a point on the convex hull of S and a line $l$ that is ``tangent'' to the convex hull then we will only iterate over the points from the convex hull.	perf[assert](rel[has_property](S, not_all_paths))	Examples
6	Jerzy	July 19, 2011 @ 8:14 pm	Minor typo in the problem statement: I assume the last line should be ``each point of *S* as a pivot\ldots'' [Corrected, thanks -- T.]	???	Other
7	Kristal	July 19, 2011 @ 8:15 pm	 looks to me like we could take the convex hull of all the points and ignore all the points that are in the interior. Then the windmill process would work its way through the exterior points in an infinite cycle while never passing through the interior hence missing all the interior points and allowing them to be ignored.	perf[assert](rel[has_property](S, not_all_paths_detail))\newline perf[challenge](problem, rel[has_property](S, not_all_paths_detail))\newline rel[structural](not_all_paths, not_all_paths_detail)	Conjecture
7.1	Kristal	July 19, 2011 @ 8:28 pm	To be specific choose one of the points not in the interior of the convex hull and a line which doesn't pass through the interior of the convex hull.	***counting this in not_all_paths_detail	Examples
7.2	Jerzy	July 19, 2011 @ 8:33 pm	I think I started with the same misunderstanding as you. Don't imagine rotating a half-line extending out (in one direction) from the new point, but rather a full line extending out in both directions.	perf[challenge](perf[challenge](problem, rel[has_property](S, not_all_paths_detail)l), rel[not](half_line))	Other
7.2.1	--	July 19, 2011 @ 9:35 pm	I don't follow. Take three points forming an equilateral triangle, and a fourth in the middle (interior of the triangle, not on the boundary of the triangle). Start with one of the vertices of the triangle as a pivot for the line $l$. Then $l$ rotates clockwise until it hits another triangle vertex (thus laying over an `edge' of the triangle), and switches its pivot to the new vertex. When does $l$ ever pivot around the interior point?	perf[challenge](perf[challenge](perf[challenge](problem, rel[has_property](S, not_all_paths_detail)), rel[not](half_line)), not_all_paths_detail_detail)	Examples
7.2.1.1	--	July 19, 2011 @ 9:43 pm	EDIT: I follow now. In the above setup, it suffices to start with the interior point as initial pivot. I misunderstood the question.	perf[retract](perf[challenge](problem,rel[has_property](S, not_all_paths_detail), start_int)\newline rel[structural](start_int, pivot_seq)	Other
8	rweba	July 19, 2011 @ 8:15 pm	Trivial observation: It is easy to see for n=2 and n=3. Actually this can easily be generalized to any convex polygon.First non-trivial case: A triangle with a point in the middle?	perf[judge](value[easy](two_and_three))\newline perf[judge](value[easy](S_convex))\newline perf[query](tri_plus_point)\newline perf[assert](rel[instance_of](problem, two_and_three))	Examples
8.1	Paul	July 19, 2011 @ 8:20 pm	A triangle with an interior point can be dealt with be making sure the interior point is the second pivot we would then form a cycle involving all 4 points which will repeat.	perf[assert](tri_plus_point, tpp_proof)	Proof
8.2	Anonymous	July 19, 2011 @ 8:21 pm	One should start say with a point in the middle and there any line will do.	perf[assert](tri_plus_point, tpp_proof_2)	Proof
8.3	Kristal	July 19, 2011 @ 8:24 pm	choose one of the points of the triangle and choose a line through the point that does not pass through the interior of the triangle then the windmill process should cycle through the vertices of the triangle.	perf[assert](rel[has_property](tri_plus_point, not_all_paths))	Examples
8.4	Garf	July 19, 2011 @ 8:32 pm	It looks like some kind of subdivision in cells occurs (i.e. a subdivision in convex polygons whose vertices are visited counter-clockwise)\ldots	perf[assert](cell_division)	Concept
9	Gal	July 19, 2011 @ 8:15 pm	Angles: If we connect every two dots, then the next pivot is the one that forms the smallest angle in relation with the current pivot.	perf[assert](smallest_angle)\newline rel[structural](smallest_angle, pivot_seq)	Concept
9.1	Gal	July 19, 2011 @ 8:17 pm	\ldots in the direction of rotation of our line L.	***counting this in smallest_angle	Concept
10	Paul	July 19, 2011 @ 8:16 pm	A possible line of enquiry might be to consider how adding additional points effects an already established ``windmill'' this might lead to an inductive solution if adding new points can be related to already established cases.	perf[suggest](meta[strategy](problem, ind_from_examples))\newline rel[structural](ind_from_examples, S)	Conjecture
11	Anonymous	July 19, 2011 @ 8:19 pm	One can start with any point (since every point of S should be pivot infinitely often), the direction of line that one starts with however matters!	perf[assert](rel[equivalent](problem, forall_exists_problem))\newline ???rel[structural](problem, forall_exists_problem)\newline perf[assert](rel[not](rel[equivalent](problem, forall_forall_problem)))\newline ???rel[structural](problem, forall_forall_problem)	Conjecture
11.1	Nemanja	July 19, 2011 @ 8:28 pm	In other words, we can start with any point and `just' need to choose a second point through which will we draw a line.	perf[assert](forall_exists_problem_detail)\newline rel[structural](forall_exists_problem, forall_exists_problem_detail)	Conjecture
11.2	Anonymous	July 19, 2011 @ 8:31 pm	Perhaps even the line does not matter! Is it possible to prove that any point and any line will do?	perf[query](forall_forall_problem)	Conjecture
11.2.1	Thomas H	July 19, 2011 @ 8:35 pm	No, if you start with two points on the convex hull (ordered in the right way) you stay on the convex hull.	perf[challenge](forall_forall_problem, two_conseq_hull)	Examples
11.2.2	Nemanja	July 19, 2011 @ 8:37 pm	It is not possible, two consecutive points on convex hull will not do.	perf[challenge](forall_forall_problem, two_conseq_hull)	Examples
11.2.3	Zhecka	July 19, 2011 @ 8:42 pm	Sure a choice of line is important. Imagine S is a cet of vertices of a convex polygone P (triangle, say) plus one point inside P	perf[challenge](forall_forall_problem, convex_plus_point)	Examples
11.2.3.1	Anonymous	July 19, 2011 @ 8:50 pm	Only the starting point matters. By the problem statement, it appears that the initial angle is irrelevant to the existence of a pivot point P* from which all of S is traversed. Every point in S is a pivot point, but only with a specific range of starting angle (e.g. those consistent with the cycle generating $S$). The union of these intervals must necessarily be $[0,2\pi)$, and thus we can assume WLOG that the starting angle is 0 (and thus we single out a specific point -- or points in the case of $|S| = 2$).	perf[assert](rel[wlog](problem, zero_angle), one_turn)	Proof
11.2.3.1.1	CLH	July 19, 2011 @ 8:57 pm	In fact all points must be achievable within a single full rotation of the line, from a starting P*. Thus the different ways of traversing a subset of S correspond not only to different starting points/angles, but also to different segmentations of $[0,2\pi)$.	perf[agree](one_turn)\newline perf[assert](corr_point_segmentation)	Proof
11.2.3.1.2	Zhecka	July 19, 2011 @ 8:59 pm	Sure. I meant a choice of line is important if you fix a starting point. It was exactly the reply to the parental comment saying that probably we can start with any conficuration ``starting point + starting line''.	perf[agree](rel[wlog](problem, zero_angle), one_turn)	Other
11.3	Seungly Oh	July 19, 2011 @ 9:06 pm	I don't really see this. Could you give this a bit more justification? It seems to me that if only the point matters, we are reduced to only n-1 distinct cases (n being the size of the set S). But we have a lot more cases than this.	perf[challenge](forall_exists_problem, too_many)	Other
12	jc	July 19, 2011 @ 8:23 pm	It might be fun to use projective duality: the space of unoriented lines in the plane is diffeomorphic to the projective plane minus a point, i.e. the open M\"obius strip, which I'll call $M$. Every point $p$ of $S$ corresponds to a line $m_p$ in $M$, and every line $l$ passing through $p$ in the plane corresponds to a point $n_l$ on $m_p$ in $M$. So the projective dual windmill process tracks the position of a point on the arrangement of lines in $M$ dual to the points of $S$. The process begins with $n_l$ on a line $m_p$ and I suppose the clockwise direction tells us which direction we progress along $m_p$. I think the goal is then to show that there exists a starting point on the arrangement such that the trace of the projective dual windmill ``curve'' will hit every single line in this arrangement\ldots?	perf[suggest](meta[strategyl](problem, proj_duality_approach))\newline perf[assert](rel[equivalent](proj_duality_approach, problem))	Concept
12.2	jc	July 19, 2011 @ 10:51 pm	I think that winding a line clockwise around a point in the $z=0$ plane is thus mapped to a point traveling in a clockwise direction on a great circle on the sphere (as viewed from above). This is well defined because none of the great circles pass through the North pole. So the set $S$ in the $z=0$ plane is mapped to an arrangement of great circles on the sphere, and the clockwise rule yields an orientation on each great circle in this arrangement. We just need an argument now to find a directed cycle on this arrangement.	***beginning counted as proj_duality_detail\newline perf[assert](rel[equivalent](problem, new_proj_prob))\newline perf[suggest](meta[goal](new_proj_prob))	Concept
13	Justin W Smith	 July 19, 2011 @ 8:26 pm	It seems that a good place to start is with the set, $A$, of ordered pairs of points, with each ordered pair representing a ``transition'' from one pivot point to the next. Each member of $A$ would be a vertex in a directed graph containing an edge from each ``transition'' to its successor ``transition''. One would then need to show that a cycle exists in this graph for which every point participates in at least one (actually two) of the vertices.	perf[define](A, A_def)\newline perf[define](A_graph, A_graph_def)\newline perf[suggest](meta[goal](rel[has_property](A_graph, has_cycle_2)))\newline rel[structural](A, A_graph)	Conjecture
13.1	Joe	July 19, 2011 @ 8:30 pm	The question here is how to translate the inherent geometrical properties that are required to prove the statement into properties of the graph. (Since obviously it isn't true for all graphs)	perf[suggest](meta[strategy](problem, translate_graph))\newline perf[queryE](rel[has_property](A, X), rel[equivalent](rel[has_property](A_graph, has_cycle_2), rel[has_property](A, X)))\newline perf[assert](rel[not](all_has_cycle_2))\newline rel[structural](all_has_cycle_2, has_cycle_2)	Other
13.1.1	Justin W Smith	July 19, 2011 @ 8:50 pm	There must be $n/2$ distinct cycles since the number of points to the left or right of the line remains constant throughout the process. (Correct me if I'm wrong.)	perf[assert](rel[has_property](A_graph, half_partial_cycles), half_thepoints)\newline perf[assert](half_thepoints)\newline rel[structural](half_thepoints, S)\newline rel[structural](half_thepoints, l)\newline rel[structural](half_thepoints, P)	Proof
13.1.1.1	Justin W Smith	July 19, 2011 @ 8:55 pm	Ok. I think the solution might involve this observation, with the observation that every point participates in a ``splitting'' lines (one with $n/2$ points on one side).	perf[agree](half_thepoints)\newline perf[suggest](meta[auxiliary](problem, forall_split))\newline perf[suggest](meta[auxiliary](problem, half_thepoints))	Conjecture
13.1.1.2	Austin	July 19, 2011 @ 9:13 pm	This seems to be incorrect. Consider $A=(0,2)$, $B=(3,2)$, $C=(3,0)$, $D=(0,0)$, $E=(2,1)$. Start with $\mathit{ED}$ pivoting around $D$; this divides the other points into two $(A,B)$ and one $(C)$. The next line is $\mathit{DC}$, which leaves $A,B,E$ all on one side.	perf[challenge](half_thepoints, 5_counterex)\newline perf[assert](rel[instance_of](S, S5))\newline rel[structural](S5, 5_counterex)	Examples
13.1.1.2.1	Zhecka	July 19, 2011 @ 9:29 pm	If you start with $\mathit{DE}$ turning around $D$ and the next line is $\mathit{DC}$ it means that you start with ``$\mathit{DE}+\epsilon$'', that is you should also count the point ($E$) at the side of $(A,B)$. In the seim vein, turning $\mathit{CD}$ around $C$ you should count ($D$) on the one side and $(A,B,E)$ on the other. So the number of points persists the same.	perf[challenge](perf[challenge](half_thepoints, 5_counterex), actual_seq)	Proof
14	Anonymous	July 19, 2011 @ 8:27 pm	I'm not sure but as no three points are collinear, one can always find a line which splits the points into two sets whose number of elements differ at most one?	perf[assert](forall_split, rel[has_property](S, not_colin))	Conjecture
14.1	Thomas H	July 19, 2011 @ 8:28 pm	That is surely true. How could this help us?	perf[agree](forall_split)\newline perf[query](value[useful](forall_split))	Other
14.1.1	Anonymous	July 19, 2011 @ 8:41 pm	Something like one can find this no matter how we choose the first point. Then in some time the windmill must be parallel to the line through these points. This line must be unique or else it splits the points such that number of elements differ at least two.	perf[assert](value[useful](forall_split))\newline perf[assert](meta[auxiliary](parallel_line, forall_split))\newline rel[structural](parallel_line, l)	Proof
14.1.1.1	Justin W Smith	July 19, 2011 @ 8:47 pm	It appears that the number of points to the ``left'' or ``right'' of the line is constant through the entire process!	perf[assert](half_thepoints)	Conjecture
14.2	Garf	July 19, 2011 @ 9:14 pm	I think this solves the problem. Start with a line which separates the points into two parts of roughly same size (their cardinal differ by at most one, not counting the point to which the line is attached). Then run the process until the line is ``upside-down'', and so has turn by exactly $\pi$. Every point has gone from the right of the line to the left of the line (easy to see is the number of point is odd, you have to be a bit more crafty if it is even), and no point can go from left to right or right to left without touching the line. Add the previous remarks (the process will always come back to its initial configuration), and every point will be visited infinitely often.	perf[define](init_line, init_line_def)\newline rel[structural](init_line_def, forall_split)\newline proof_sugg := perf[assert](rel[equivalent](init_turn_by_pi, points_switched_sides))\newline perf[assert](problem, proof_sugg, half_thepoints)\newline *** or perf[assert](rel[stronger](proof_sugg, problem))???\newline perf[assert](rel[instance_of](parallel_line, init_turn_by_pi))\newline rel[structural]((init_turn_by_pi, init_line)	Proof
14.2.1	Gal	July 19, 2011 @ 9:23 pm	Very nice! Don't we run into problems with a convex hull though? Take a square with a point in the middle (M) and pass the diagonal of the square (not through M) -- it seems to me M is never visited (though I may be wrong here). I think we should be more specific in our initial choice of line, maybe?	perf[judge](value[beautiful](proof_sugg))\newline perf[challenge](proof_sugg, convex_ex_5)\newline rel[structural](convex_ex_5, S)\newline rel[structural](convex_ex_5, l)\newline rel[structural](convex_ex_5, P)	Examples
14.2.1.1	Gal	July 19, 2011 @ 9:28 pm	No. This example is false. :)	perf[retract](convex_ex_5)	Other
14.2.2	Zhecka	July 19, 2011 @ 9:35 pm	Yes, it seems to be a correct solution!	perf[agree](proof_sugg)\newline perf[assert](rel[stronger](proof_sugg, problem))	Other
14.2.3	Gal	July 19, 2011 @ 9:42 pm	This seems to be right, but there something I don't understand. Please see if you can help me with it: Start with a square and a point inside it (M): start with a tangent to the square (your solution demands a more equal division of points, I know). When we get to the opposite vertex of the square all points moved from one side of the line to the other, but not all points have been visited (M will never be visited). The argument is almost exactly the same, so it seems that the equal division of points plays a crucial role, but I don't understand what role exactly. Can we pin it down precisely?	perf[assert](half_points_essential, convex_ex_6)\newline perf[assert](rel[instance_of](S, convex_ex_6))\newline rel[structural](convex_ex_6, l)\newline perf[assert](rel[has_property](convex_ex_6, rel[not](has_cycle)))\newline perf[assert](rel[has_property](convex_ex_6, points_switched_sides))\newline perf[queryE](why_half_points_essentia(X))\newline rel[structural](why_half_points_essential, half_points_essential)	Examples
14.2.3.1	Garf	July 19, 2011 @ 9:47 pm	I f I understand well your example : the problem is that you must give an orientation to the line. Then, left and right are define with respect to this orientation : if the line has made half a turn, then left and right are reversed. In your example, I think most of the point move from, say, the part et the top of the line to the part at the bottom of the line, but always stay at the right of the line.	perf[challenge](rel[has_property](convex_ex_6, points_switched_sides))	Concept
14.2.3.1.1	Gal	July 19, 2011 @50	Got it! Kind of like a turn number in topology. Thanks! :)	perf[agree](perf[challenge](rel[has_property](convex_ex_6, points_switched_sides)))	Other
14.2.4	Anonymous	July 19, 2011 @ 9:46 pm	My bachelor thesis supervisor said that one can't use the word cardinal if we talk about finite sets. One has to use the words ``number of elements''.	???	Other
14.2.5	Jerzy	July 19, 2011 @ 9:49 pm	I'm trying to understand why the initial line must split the points into two (almost)-equal sets. I guess it's so that when it rotates 180 degrees, the line is guaranteed to be back in the same place again, i.e. dividing it into the same two equal sets, so each point must have switched from right to left\ldots so the line must have visited each point. If instead you start the line tangent to the convex hull, with all non-pivot points to its right, then when it rotates 180 degrees it will STILL have all non-pivot points to its ``right''. Yes?	perf[assert](rel[equivalent](points_switched_sides, half_thepoints), forall_split)	Examples
14.2.5.1	Garf	July 19, 2011 @ 9:50 pm	That's it.	perf[agree](rel[equivalent](points_switched_sides, half_thepoints))	Proof
14.2.5.1.1	Jerzy	July 19, 2011 @ 10:06 pm	Cool. One more thing I'm trying to understand: If there are an even number of non-pivots, there is exactly one vertical line that passes through a pivot that divides the remaining points in half. So when the line rotates 180 degrees, it'll have to pass through that point again. But if there are an odd number of non-pivots, then there are two choices of pivot point for the vertical line separating the non-pivots into almost-halves. Does it matter which one you use? Do you need to specify anything like ``the side with one extra point is the side that will get hit next''? Or does that not matter? In other words, when there are an odd number of non-pivots, and then the line hits a 2nd point so it's on two points at once, you could either have equal points on either side, or you could have k on one side and (k-2) on the other side. Does this cause a problem that requires an appropriate choice of initial pivot and rotation-direction?	perf[assert](rel[case_split](init_line, even_case, odd_case))\newline perf[assert](even_case)\newline perf[queryE](next_pivot, X)\newline perf[assert](rel[case_split](odd_case, equal_split, diff_2))	Proof
14.2.5.1.1.1	Garf	July 19, 2011 @ 10:28 pm	And that is the difference between the odd and even cases. Anyway, the choice of the starting point (between the two possible choices, say, A and B) does not matter : if you start from A, then after half a turn you will be on point B, so the two choices of starting point (with the given starting orientation) belong to the same orbit.	perf[agree](rel[case_split](init_line, even_case, odd_case))\newline perf[assert](rel[equivalent](equal_split, diff_2))	Proof
15	Varun	July 19, 2011 @ 8:27 pm	We could perhaps consider ``layers'' of convex hulls (polygons) .. like peeling off an onion. If our line doesn't start at the ``core'' (innermost) polygon then I feel it'll get stuck in the upper layers and never reach the core.	perf[suggest](meta[strategy](problem, induction_hulls_2))\newline rel[structural](induction_hulls, induction_hulls_2)\newline perf[assert](rel[stronger](problem, inner_start))	Concept
15.1	A	 July 19, 2011 @ 8:46 pm	I think that is a good start, thanks Varun!	perf[agree](meta[strategy](probem, induction_hulls_2))\newline perf[agree](rel[stronger](problem, inner_start))	Other
15.2	Srivatsan Narayanan	July 19, 2011 @ 8:48 pm	This was suggested by Haggai Nuchi (comment 4). But it's hard to keep track of the process since it keeps switching between multiple layers in a seemingly arbitrary fashion (in fact, we are looking for a windmill that does exactly this).	perf[assert](rel[equivalent](induction_hulls_2, induction_hulls))	Concept
16	Pingback	~	~	~	~
17	Anonymous	July 19, 2011 @ 8:39 pm	The windmill process defines a function f from the set of all pairs of points to itself, with the condition that f(ab)=bc for some c. Is it true that for any such function we can find a permutation a_1,a_2,\ldots a_n such that f(a_i,a_{i+1}) = a_{i+1} a_{i+2} ?	perf[define](f_functions, overlap)\newline rel[structural](A, f_functions)\newline perf[query](rel[has_property](f_function, corresp_perm))	Concept
17.1	Srivatsan Narayanan	July 19, 2011 @ 8:51 pm	No, e.g.: f(ab)=ba and f(ba) = ab. The geometric properties of f seem crucial.	perf[challenge](rel[has_property](f_function, corresp_perm), pair_ex)	Examples
17.1.1	Austin	July 19, 2011 @ 8:55 pm	But even if f(ab)=ba and f(ba)=ab, there may be some other cycle that works. For example, if n=3, we might have f(ac)=cb, f(cb)=bc, f(bc)=ca, f(ca)=ac. So your counterexample isn't actually a counterexample (yet).	perf[challenge](perf[challenge](rel[has_property](f_function, corresp_perm), pair_ex), not_univ)	Proof
17.1.1.1	Thomas H	July 19, 2011 @ 8:58 pm	The counterexample is f(a b) = (b a) for all pairs (a,b).	repair[existential_to_universal](pair_ex, pair_ex_univ)	Examples
17.1.1.2	Austin	July 19, 2011 @ 9:03 pm	On the other hand, if n=3, then we could have cycles aba, bcb, cac, which would form a counterexample. This is definitely ``ungeometric,'' since the cycles are too short (ac and ca are actually the same line). But if n=5, then we could have cycles abcda, acea, bedb -- another counterexample, and this one survives the preceding objection. So I'm ready to agree that geometry matters.	perf[retract](perf[challenge](perf[challenge](rel[has_property](f_function, corresp_perm), pair_ex), not_univ))	Examples
17.2	g	July 19, 2011 @ 8:53 pm	No. For instance, consider the f that simply swaps the points in the pair you hand it: f(ab) = ba, f(ba) = ab, for all choices of a,b.	perf[challenge](rel[has_property](f_function, corresp_perm), pair_ex_univ)	Concept
